"dataset","run_type","omitted_patient","n_pairs","n_tested_genes","pathway","size","ES","NES","nominal_P","log2err","leadingEdge"
"GSE274546","Leave-one-patient-out","GSE274546_MD01",44,17846,"Miller_Microglial_Inflammatory_raw_top20",19,0.58865327240774,1.74434838263904,0.00470447808513535,0.407017918923954,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;KLF6;PDK4"
"GSE274546","Leave-one-patient-out","GSE274546_MD02",44,17856,"Miller_Microglial_Inflammatory_raw_top20",19,0.60624247913135,1.86053110394889,0.00183910573862294,0.45505986738723,"CCL3;SGK1;CCL4;CH25H;RHOB;SIGLEC8;FOLR2;KLF6;PDK4;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_NL02",44,17855,"Miller_Microglial_Inflammatory_raw_top20",19,0.582587282197543,1.76917846961946,0.00867015732525564,0.380730400722792,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_NL06",44,17804,"Miller_Microglial_Inflammatory_raw_top20",19,0.57909885333163,1.72284112005255,0.0059545360030488,0.407017918923954,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;KLF6;PDK4;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_NL07",44,17847,"Miller_Microglial_Inflammatory_raw_top20",19,0.604500464171522,1.81690789085204,0.00551662741399174,0.407017918923954,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_SM01",44,17847,"Miller_Microglial_Inflammatory_raw_top20",19,0.579749605798077,1.74406480263098,0.0112717588545043,0.380730400722792,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;PDK4"
"GSE274546","Leave-one-patient-out","GSE274546_SM02",44,17843,"Miller_Microglial_Inflammatory_raw_top20",19,0.591747618241456,1.75821354548425,0.0043839177997442,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;PDK4;SIGLEC8;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_SM03",44,17836,"Miller_Microglial_Inflammatory_raw_top20",19,0.589370536045938,1.74065079133281,0.0044483756384906,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;KLF6;FOLR2;SIGLEC8;PDK4;KLF2;BHLHE41;JUN"
"GSE274546","Leave-one-patient-out","GSE274546_SM05",44,17831,"Miller_Microglial_Inflammatory_raw_top20",19,0.543302527833507,1.61904020728125,0.0164237799072659,0.352487857583619,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_SM06",44,17899,"Miller_Microglial_Inflammatory_raw_top20",19,0.579052773757974,1.72013727504047,0.00779478226970596,0.407017918923954,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;KLF6;PDK4"
"GSE274546","Leave-one-patient-out","GSE274546_SM07",44,17836,"Miller_Microglial_Inflammatory_raw_top20",19,0.514035934250412,1.54307325800296,0.0310757634983536,0.352487857583619,"CCL3;SGK1;CCL4;CH25H;RHOB;FOLR2;KLF6;PDK4;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_SN01",44,17960,"Miller_Microglial_Inflammatory_raw_top20",19,0.569007688204931,1.6964619151195,0.00555868646644233,0.407017918923954,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;PDK4;KLF6;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_SN02",44,17943,"Miller_Microglial_Inflammatory_raw_top20",19,0.630035464099629,1.88046704740656,0.00182561289136956,0.45505986738723,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_SN03",44,17750,"Miller_Microglial_Inflammatory_raw_top20",19,0.556140766769653,1.64605732225187,0.0122658287257162,0.380730400722792,"CCL3;SGK1;CCL4;CH25H;RHOB;KLF6;FOLR2;PDK4;NLRP3;SIGLEC8"
"GSE274546","Leave-one-patient-out","GSE274546_SN04",44,17844,"Miller_Microglial_Inflammatory_raw_top20",19,0.608562539189932,1.81070713004203,0.00378852441338719,0.431707695803346,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_SN06",44,17849,"Miller_Microglial_Inflammatory_raw_top20",19,0.58454069598134,1.74296868853306,0.00639820548425136,0.407017918923954,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;SIGLEC8;PDK4;KLF6"
"GSE274546","Leave-one-patient-out","GSE274546_SN08",44,17941,"Miller_Microglial_Inflammatory_raw_top20",19,0.615369174779027,1.82768774265077,0.0021327170436018,0.431707695803346,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;KLF6;SIGLEC8;PDK4;JUN;BHLHE41"
"GSE274546","Leave-one-patient-out","GSE274546_SN09",44,17904,"Miller_Microglial_Inflammatory_raw_top20",19,0.607731657454924,1.83136216723953,0.0017869344782536,0.45505986738723,"CCL3;CCL4;SGK1;CH25H;RHOB;FOLR2;PDK4;SIGLEC8;KLF6;BHLHE41"
