gene,rank_GSE174554,rank_stat_GSE174554,program_GSE174554,rank_GSE274546,rank_stat_GSE274546,program_GSE274546,miller_raw20,density,shared_leading_edge,labelled,display_role,display_label
ZNF385D,4497,0.1994358652292937,False,16208,-1.5749366581903128,False,False,2.5649493574615367,False,False,transcriptome_background,
USP51,4498,0.1992761406579207,False,609,2.322875287621443,False,False,1.9459101490553132,False,False,transcriptome_background,
TM2D1,4499,0.1991693999418703,False,8648,-0.0156159723205377,False,False,3.4657359027997265,False,False,transcriptome_background,
OPTN,4500,0.1991044180402393,False,186,3.022261850955274,False,False,1.0986122886681098,False,False,transcriptome_background,
UBE2G2,4501,0.1988714963495925,False,15661,-1.3845604349880074,False,False,2.9444389791664403,False,False,transcriptome_background,
INPP5A,4502,0.1988626893912571,False,818,2.1425324357314173,False,False,1.6094379124341005,False,False,transcriptome_background,
CCDC90B,4503,0.1982684094735164,False,10501,-0.3180187517767623,False,False,3.4011973816621555,False,False,transcriptome_background,
ZRANB1,4504,0.1979723059370825,False,7299,0.209868681350093,False,False,3.218875824868201,False,False,transcriptome_background,
B4GALT4-AS1,4505,0.1977612951627633,False,6484,0.3450528791438944,False,False,3.218875824868201,False,False,transcriptome_background,
UCKL1,4506,0.1974448533398769,False,11116,-0.4177751437283578,False,False,3.332204510175204,False,False,transcriptome_background,
DHX36,4507,0.197294161607527,False,6053,0.4265307238074932,False,False,3.258096538021482,False,False,transcriptome_background,
KATNA1,4508,0.1971583521271472,False,11585,-0.4989368696493725,False,False,3.332204510175204,False,False,transcriptome_background,
ACACA,4509,0.1970234836341183,False,2650,1.2053627441645898,False,False,3.044522437723423,False,False,transcriptome_background,
CTSZ,4510,0.1969985821563302,False,3014,1.1006660180579848,False,False,2.995732273553991,False,False,transcriptome_background,
TCEAL3,4511,0.1963711631611556,False,7678,0.146779202863886,False,False,3.218875824868201,False,False,transcriptome_background,
ATP11B,4512,0.1960792123142833,False,13903,-0.9317983316341836,False,False,3.1354942159291497,False,False,transcriptome_background,
APLF,4513,0.1959215154850043,False,1408,1.7429766782544225,False,False,2.3978952727983707,False,False,transcriptome_background,
EHBP1,4515,0.1951351863266912,False,6282,0.3768158039135753,False,False,3.258096538021482,False,False,transcriptome_background,
CSNK1A1,4516,0.1947319037190192,False,2220,1.354808220885395,False,False,2.70805020110221,False,False,transcriptome_background,
GKAP1,4517,0.1945037465149111,False,13476,-0.8392480481745805,False,False,3.044522437723423,False,False,transcriptome_background,
CLPB,4518,0.1945023754208752,False,13709,-0.8934383769719264,False,False,3.044522437723423,False,False,transcriptome_background,
TRIM9,4519,0.1943689568783173,False,9182,-0.101457445338386,False,False,3.218875824868201,False,False,transcriptome_background,
PITRM1,4520,0.1943509330356381,False,3999,0.8452130045079637,False,False,3.4339872044851463,False,False,transcriptome_background,
SUN2,4521,0.1943121063007477,False,15949,-1.483103304987623,False,False,2.4849066497880004,False,False,transcriptome_background,
NUP43,4522,0.1940708762442765,False,13346,-0.8145693765286619,False,False,3.044522437723423,False,False,transcriptome_background,
FAM234A,4523,0.1939076272545974,False,3119,1.0728716740562685,False,False,2.995732273553991,False,False,transcriptome_background,
SPIRE1,4524,0.193760955039602,False,1614,1.6319484477132726,False,False,2.302585092994046,False,False,transcriptome_background,
N4BP2L2,4525,0.1936080261196795,False,7120,0.2432232131236946,False,False,3.218875824868201,False,False,transcriptome_background,
TMEM50A,4526,0.1932539309522243,False,11914,-0.5500109032122409,False,False,3.091042453358316,False,False,transcriptome_background,
CYLD,4527,0.1929111075737955,False,11729,-0.5220130522532899,False,False,3.332204510175204,False,False,transcriptome_background,
DCAF8,4528,0.1928348108428602,False,2945,1.1193694907875504,False,False,3.044522437723423,False,False,transcriptome_background,
IKBKB,4529,0.1926629963971854,False,5650,0.5024586158712536,False,False,3.218875824868201,False,False,transcriptome_background,
GGA1,4531,0.1923211417480639,False,843,2.122373365838629,False,False,1.6094379124341005,False,False,transcriptome_background,
PVR,4532,0.1917517738702067,False,6502,0.3409807607468169,False,False,3.218875824868201,False,False,transcriptome_background,
TMEM208,4533,0.1917260687387286,False,14925,-1.1678091014258325,False,False,2.772588722239781,False,False,transcriptome_background,
GDI1,4534,0.1914558352714393,False,4554,0.7218369758158388,False,False,2.833213344056216,False,False,transcriptome_background,
ALKBH4,4535,0.1906503377045183,False,15235,-1.2474604317607152,False,False,2.772588722239781,False,False,transcriptome_background,
ZNF77,4536,0.1903018379576802,False,8561,-0.0032503770705539,False,False,3.4657359027997265,False,False,transcriptome_background,
ZBTB46,4537,0.1900626072756119,False,12384,-0.6303843949028648,False,False,3.091042453358316,False,False,transcriptome_background,
PLD2,4538,0.1900541351489722,False,8564,-0.0036180327208599,False,False,3.4657359027997265,False,False,transcriptome_background,
RPAP1,4539,0.1900242646501617,False,10159,-0.2627407148775522,False,False,3.49650756146648,False,False,transcriptome_background,
PHKA2,4541,0.1898717931434411,False,7930,0.1009757499039863,False,False,3.4657359027997265,False,False,transcriptome_background,
FCGBP,4542,0.1894119318722017,False,9309,-0.1223220566651673,False,False,3.218875824868201,False,False,transcriptome_background,
