patient,gene,Primary,Recurrent,delta_log2_abundance,n_pairs_gene,n_recurrence_up_gene,logFC,ci_low,ci_high,P.Value,adj.P.Val,significant,y_base,y_jitter
KNCC_GBM0032,FOLR2,-0.6165639245150716,-0.5233426494759552,0.09322127503911637,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,8.963093098293951
KNCC_GBM0032,GSTM3,-1.229932810808461,-0.4399286884216284,0.7900041223868326,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,8.034125744851536
KNCC_GBM0032,ITM2C,1.2775738896942468,1.9998932102403744,0.7223193205461276,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,4.852922943415093
KNCC_GBM0032,JUN,0.3785866394250015,-0.0412461050317064,-0.4198327444567079,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,3.029645610700895
KNCC_GBM0032,P2RY12,-0.9427150626740723,-0.3732604759774088,0.5694545866966636,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,0.8223280351018807
KNCC_GBM0032,RHOB,-0.4029126358260495,-0.0895100566834877,0.3134025791425618,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,9.832174523181203
KNCC_GBM0032,SIGLEC8,-0.543644321417799,-0.542107008922813,0.0015373124949858985,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,3.822612068129956
KNCC_GBM0032,USP53,0.4725113993431562,0.5628317492589281,0.09032034991577187,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.9480509025015067
KNCC_GBM0033,CTTNBP2,-0.3563179249107044,0.4715832356146389,0.8279011605253432,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,5.827285743061252
KNCC_GBM0033,FOLR2,-0.7227335875610181,-0.0203684706575931,0.7023651169034251,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.022135531056403
