geo_accession,sample,state,n_target,n_rest,raw20_delta,raw20_pseudobulk_delta,within_state_rank,direction,n_patients,n_positive,mean_delta,fdr_9_states,score_pseudobulk_mean_direction_concordant
GSM8546894,GBM050,M-MDSC,79,2384,-0.7159967527784352,-2.906644821166992,1,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546887,GBM036,M-MDSC,45,359,-0.6085826652937671,-3.925359725952149,2,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546899,GBM056,M-MDSC,140,941,-0.3954118565909085,-2.4885621070861816,3,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546885,GBM030,M-MDSC,32,1427,-0.3939134839663375,-2.1751155853271484,4,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546904,GBM065,M-MDSC,50,2137,-0.3889115023519142,-2.18580961227417,5,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546915,GBM082,M-MDSC,33,2346,-0.383381946081525,-2.0074896812438965,6,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546881,GBM006,M-MDSC,34,330,-0.3055037862793099,-2.6098532676696777,7,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546889,GBM043,M-MDSC,125,1585,-0.2285569295959836,-1.5700502395629885,8,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546893,GBM049,M-MDSC,131,1868,-0.1718404176157147,-1.5916237831115725,9,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546897,GBM054,M-MDSC,102,2036,-0.1668546876420032,-1.7222208976745603,10,Below rest,11,0,-0.3471333914445482,0.002197265625,True
GSM8546905,GBM066,M-MDSC,38,980,-0.0595132776941311,-2.170194625854492,11,Below rest,11,0,-0.3471333914445482,0.002197265625,True
