geo_accession,sample,assigned_state,tested_marker_set,n_cells,mean_marker_set_score
GSM8546886,GBM035,MCG5,M-MDSC,31,0.6988576589092131
GSM8546886,GBM035,E-MDSC,MCG1,65,0.9792404061621364
GSM8546886,GBM035,E-MDSC,MCG2,65,0.9934713544816359
GSM8546886,GBM035,E-MDSC,MCG3,65,0.4165658266279433
GSM8546886,GBM035,E-MDSC,MCG4,65,0.5328290064642087
GSM8546886,GBM035,E-MDSC,MCG5,65,1.324442304901841
GSM8546886,GBM035,E-MDSC,MAC1,65,0.47577917358369
GSM8546886,GBM035,E-MDSC,MAC2,65,0.5270866747686653
GSM8546886,GBM035,E-MDSC,E-MDSC,65,1.893584339063843
GSM8546886,GBM035,E-MDSC,M-MDSC,65,1.0508808902593758
GSM8546887,GBM036,MCG1,MCG1,96,2.157122489980289
GSM8546887,GBM036,MCG1,MCG2,96,1.815412938761428
GSM8546887,GBM036,MCG1,MCG3,96,0.9300061119485785
GSM8546887,GBM036,MCG1,MCG4,96,0.9407826099288199
GSM8546887,GBM036,MCG1,MCG5,96,1.1562826777375486
GSM8546887,GBM036,MCG1,MAC1,96,0.7202177856087201
GSM8546887,GBM036,MCG1,MAC2,96,1.6310717520448896
GSM8546887,GBM036,MCG1,E-MDSC,96,0.6888097492942018
GSM8546887,GBM036,MCG1,M-MDSC,96,0.3223855074577861
GSM8546887,GBM036,MCG2,MCG1,112,1.4295519439298279
GSM8546887,GBM036,MCG2,MCG2,112,1.861031783094803
GSM8546887,GBM036,MCG2,MCG3,112,0.9211894732429868
GSM8546887,GBM036,MCG2,MCG4,112,0.8970275858698314
GSM8546887,GBM036,MCG2,MCG5,112,1.1519075944537747
GSM8546887,GBM036,MCG2,MAC1,112,0.6580536115823722
GSM8546887,GBM036,MCG2,MAC2,112,1.3693446652378356
GSM8546887,GBM036,MCG2,E-MDSC,112,0.6647648209610403
GSM8546887,GBM036,MCG2,M-MDSC,112,0.2188954529591969
GSM8546887,GBM036,MAC2,MCG1,69,1.703926498736901
GSM8546887,GBM036,MAC2,MCG2,69,1.7328909297941726
GSM8546887,GBM036,MAC2,MCG3,69,0.8939214000302621
GSM8546887,GBM036,MAC2,MCG4,69,1.2364483061556377
GSM8546887,GBM036,MAC2,MCG5,69,1.1184251051721006
GSM8546887,GBM036,MAC2,MAC1,69,0.865361575500499
GSM8546887,GBM036,MAC2,MAC2,69,2.2305462505506433
GSM8546887,GBM036,MAC2,E-MDSC,69,0.8400856547467449
GSM8546887,GBM036,MAC2,M-MDSC,69,0.8366877710646476
GSM8546887,GBM036,M-MDSC,MCG1,45,0.926770431881859
GSM8546887,GBM036,M-MDSC,MCG2,45,1.086725937323278
GSM8546887,GBM036,M-MDSC,MCG3,45,0.04113198812508288
GSM8546887,GBM036,M-MDSC,MCG4,45,0.469156535720905
GSM8546887,GBM036,M-MDSC,MCG5,45,0.7819134030456815
GSM8546887,GBM036,M-MDSC,MAC1,45,0.09485092259357937
GSM8546887,GBM036,M-MDSC,MAC2,45,1.1808652314080132
GSM8546887,GBM036,M-MDSC,E-MDSC,45,1.1996301338182707
GSM8546887,GBM036,M-MDSC,M-MDSC,45,1.972464139020001
GSM8546888,GBM037,MCG1,MCG1,238,1.958278753069776
GSM8546888,GBM037,MCG1,MCG2,238,1.7276578800073799
GSM8546888,GBM037,MCG1,MCG3,238,0.6723473738652086
GSM8546888,GBM037,MCG1,MCG4,238,1.058041753298351
GSM8546888,GBM037,MCG1,MCG5,238,1.0503333272886073
GSM8546888,GBM037,MCG1,MAC1,238,0.7965615543844473
GSM8546888,GBM037,MCG1,MAC2,238,1.5991040840002426
GSM8546888,GBM037,MCG1,E-MDSC,238,0.715525183559792
GSM8546888,GBM037,MCG1,M-MDSC,238,0.4708635862868707
GSM8546888,GBM037,MCG2,MCG1,137,1.5373952028999758
GSM8546888,GBM037,MCG2,MCG2,137,1.8020519618132562
GSM8546888,GBM037,MCG2,MCG3,137,0.6993010079414307
GSM8546888,GBM037,MCG2,MCG4,137,1.1310495731425871
GSM8546888,GBM037,MCG2,MCG5,137,1.1579362951765937
GSM8546888,GBM037,MCG2,MAC1,137,0.8062693900301643
GSM8546888,GBM037,MCG2,MAC2,137,1.4799107087573509
GSM8546888,GBM037,MCG2,E-MDSC,137,0.7346623437497581
GSM8546888,GBM037,MCG2,M-MDSC,137,0.4253455840178069
GSM8546888,GBM037,MAC2,MCG1,347,1.3263052442633396
GSM8546888,GBM037,MAC2,MCG2,347,1.5702538856078276
GSM8546888,GBM037,MAC2,MCG3,347,0.5864130660937177
GSM8546888,GBM037,MAC2,MCG4,347,1.2029299958180513
GSM8546888,GBM037,MAC2,MCG5,347,0.9995963497898734
GSM8546888,GBM037,MAC2,MAC1,347,0.8305199902170224
GSM8546888,GBM037,MAC2,MAC2,347,2.1590731519607615
GSM8546888,GBM037,MAC2,E-MDSC,347,0.8234474162453769
GSM8546888,GBM037,MAC2,M-MDSC,347,0.94395372898045
GSM8546889,GBM043,MCG1,MCG1,808,1.7400846753351984
GSM8546889,GBM043,MCG1,MCG2,808,1.3551768334369612
GSM8546889,GBM043,MCG1,MCG3,808,0.9367725090362845
GSM8546889,GBM043,MCG1,MCG4,808,0.8914147146948402
GSM8546889,GBM043,MCG1,MCG5,808,1.082258578665095
GSM8546889,GBM043,MCG1,MAC1,808,0.7102612053162665
GSM8546889,GBM043,MCG1,MAC2,808,1.1904435699850884
GSM8546889,GBM043,MCG1,E-MDSC,808,0.7199610216376865
GSM8546889,GBM043,MCG1,M-MDSC,808,0.6966137800644951
GSM8546889,GBM043,MCG2,MCG1,241,1.2623728290091292
GSM8546889,GBM043,MCG2,MCG2,241,1.5161190839654448
GSM8546889,GBM043,MCG2,MCG3,241,0.9065348454519812
GSM8546889,GBM043,MCG2,MCG4,241,0.7802787718461897
GSM8546889,GBM043,MCG2,MCG5,241,0.9330031414439872
GSM8546889,GBM043,MCG2,MAC1,241,0.6396146639091213
GSM8546889,GBM043,MCG2,MAC2,241,0.9608733824989293
GSM8546889,GBM043,MCG2,E-MDSC,241,0.5008454521164177
GSM8546889,GBM043,MCG2,M-MDSC,241,0.43495338865712424
GSM8546889,GBM043,MCG4,MCG1,46,0.9653490883963449
GSM8546889,GBM043,MCG4,MCG2,46,1.0509379529635718
GSM8546889,GBM043,MCG4,MCG3,46,1.049439733800105
GSM8546889,GBM043,MCG4,MCG4,46,1.4270698933534636
GSM8546889,GBM043,MCG4,MCG5,46,1.0895689878708275
GSM8546889,GBM043,MCG4,MAC1,46,0.6708820958658341
GSM8546889,GBM043,MCG4,MAC2,46,0.8476777745800999
GSM8546889,GBM043,MCG4,E-MDSC,46,0.7842837623927904
GSM8546889,GBM043,MCG4,M-MDSC,46,0.792034135299193
GSM8546889,GBM043,MCG5,MCG1,117,1.1445758016894498
GSM8546889,GBM043,MCG5,MCG2,117,1.198079310165996
GSM8546889,GBM043,MCG5,MCG3,117,0.9898081334794234
GSM8546889,GBM043,MCG5,MCG4,117,0.999649144805084
GSM8546889,GBM043,MCG5,MCG5,117,1.5565756608748578
GSM8546889,GBM043,MCG5,MAC1,117,0.7315532054109873
GSM8546889,GBM043,MCG5,MAC2,117,0.8511104892739607
GSM8546889,GBM043,MCG5,E-MDSC,117,1.0788257607287606
GSM8546889,GBM043,MCG5,M-MDSC,117,0.7322234782349739
GSM8546889,GBM043,MAC2,MCG1,41,1.4721150122453115
GSM8546889,GBM043,MAC2,MCG2,41,1.4147066098387917
GSM8546889,GBM043,MAC2,MCG3,41,0.9653889136068867
GSM8546889,GBM043,MAC2,MCG4,41,1.0492576838086392
GSM8546889,GBM043,MAC2,MCG5,41,1.019205460181603
GSM8546889,GBM043,MAC2,MAC1,41,0.7550637100510197
GSM8546889,GBM043,MAC2,MAC2,41,1.6759075101357606
GSM8546889,GBM043,MAC2,E-MDSC,41,0.6269822707508816
GSM8546889,GBM043,MAC2,M-MDSC,41,0.8151622192923337
GSM8546889,GBM043,E-MDSC,MCG1,301,0.8417902725290939
GSM8546889,GBM043,E-MDSC,MCG2,301,0.5715275473521501
GSM8546889,GBM043,E-MDSC,MCG3,301,0.4067768173791597
